business_unit,line_item,month,budget,actual
Retail Sales,Opex: Other,2025-10,33089.41,33723.93
Retail Sales,Opex: Other,2025-11,33188.67,26924.08
Retail Sales,Opex: Other,2025-12,33288.24,32889.87
Retail Sales,Opex: Other,2026-01,33388.1,34914.32
Retail Sales,Opex: Other,2026-02,33488.27,38772.36
Retail Sales,Opex: Other,2026-03,33588.73,32183.82
Retail Sales,Opex: Other,2026-04,33689.5,31302.62
Retail Sales,Opex: Other,2026-05,33790.57,32433.01
Retail Sales,Opex: Other,2026-06,33891.94,37333.33
Retail Sales,Opex: Other,2026-07,33993.62,35451.1
Retail Sales,Opex: Other,2026-08,34095.6,32630.3
Retail Sales,Opex: Other,2026-09,34197.88,36295.13
Retail Sales,Opex: Salaries,2025-04,195000.0,199081.35
Retail Sales,Opex: Salaries,2025-05,195780.0,199291.98
Retail Sales,Opex: Salaries,2025-06,196563.12,189648.71
Retail Sales,Opex: Salaries,2025-07,197349.37,193545.19
Retail Sales,Opex: Salaries,2025-08,198138.77,198126.47
Retail Sales,Opex: Salaries,2025-09,198931.33,202764.01
Retail Sales,Opex: Salaries,2025-10,199727.05,194858.66
Retail Sales,Opex: Salaries,2025-11,200525.96,197403.82
Retail Sales,Opex: Salaries,2025-12,201328.06,192632.69
Retail Sales,Opex: Salaries,2026-01,202133.37,192858.24
Retail Sales,Opex: Salaries,2026-02,202941.91,205859.36
Retail Sales,Opex: Salaries,2026-03,203753.68,210006.31
Retail Sales,Opex: Salaries,2026-04,204568.69,202081.07
Retail Sales,Opex: Salaries,2026-05,205386.97,209516.47
Retail Sales,Opex: Salaries,2026-06,206208.51,206383.6
Retail Sales,Opex: Salaries,2026-07,207033.35,200956.17
Retail Sales,Opex: Salaries,2026-08,207861.48,208036.47
Retail Sales,Opex: Salaries,2026-09,208692.93,216235.32
Retail Sales,Revenue,2025-04,650000.0,669371.85
Retail Sales,Revenue,2025-05,656500.0,651053.77
Retail Sales,Revenue,2025-06,663065.0,688832.58
Retail Sales,Revenue,2025-07,669695.65,730893.64
Retail Sales,Revenue,2025-08,676392.61,666889.83
Retail Sales,Revenue,2025-09,683156.53,673559.4
Retail Sales,Revenue,2025-10,689988.1,755366.38
Retail Sales,Revenue,2025-11,696887.98,728976.94
Retail Sales,Revenue,2025-12,703856.86,684030.29
Retail Sales,Revenue,2026-01,710895.43,734037.63
Retail Sales,Revenue,2026-02,718004.38,698040.23
Retail Sales,Revenue,2026-03,725184.43,704920.03
Retail Sales,Revenue,2026-04,732436.27,743069.59
Retail Sales,Revenue,2026-05,739760.63,654838.47
Retail Sales,Revenue,2026-06,747158.24,669831.04
Retail Sales,Revenue,2026-07,754629.82,729170.68
Retail Sales,Revenue,2026-08,762176.12,715858.78
Retail Sales,Revenue,2026-09,769797.88,784312.3
